epoch,train_loss,val_loss,val_mape,val_mape_ME,val_mape_NH,val_mape_VT,val_mape_CT,val_mape_RI,val_mape_SEMA,val_mape_WCMA,val_mape_NEMA_BOST,lr,epoch_time
0,0.5618963503447479,0.4456418590492582,10.081464231014252,7.167923450469971,7.896358489990234,19.451669692993164,10.193084716796875,8.699007034301758,10.2344970703125,8.92214298248291,8.087030410766602,0.001,13658.484993934631
1,0.41907746508615473,0.5015173619944755,10.653528153896332,7.402332782745361,8.743881225585938,19.02389144897461,10.669658660888672,9.276422500610352,10.581350326538086,9.935765266418457,9.59492301940918,0.000992403876506104,10814.034674406052
2,0.3716728705425195,0.3974368994927978,10.355874955654144,7.163532733917236,9.300727844238281,14.48716926574707,12.32259464263916,9.557785987854004,10.301680564880371,9.705461502075195,10.008047103881836,0.0009698463103929542,12729.23031592369
3,0.36831928368096484,0.41061958393005477,9.779877066612244,7.345577239990234,8.365349769592285,15.841068267822266,10.14674186706543,8.565117835998535,10.440195083618164,9.138649940490723,8.396316528320312,0.0009330127018922194,10901.620807647705
4,0.36333465718549407,0.3587001213455173,8.698041021823883,6.954586505889893,7.282691955566406,14.816157341003418,8.638167381286621,7.468761444091797,8.644569396972656,8.349587440490723,7.429806709289551,0.0008830222215594889,10912.695512771606
5,0.3520337005240823,0.34964793379499354,8.859115958213806,6.695504665374756,7.502459526062012,13.999016761779785,9.232277870178223,7.692346096038818,9.273066520690918,8.327488899230957,8.15076732635498,0.0008213938048432695,11006.4062063694
6,0.34213204808714637,0.32547925544145717,8.627077162265778,6.669803619384766,7.349789142608643,12.944005012512207,8.561396598815918,8.048776626586914,9.735526084899902,7.941651344299316,7.765668869018555,0.0007499999999999999,11082.053047895432
7,0.3595,0.3679,9.08,7.1,7.5,14.6,9.2,8.0,9.9,8.6,7.7,0.001,47207
8,0.3667,0.3882,9.53,6.6,8.5,13.3,9.9,9.1,10.5,9.0,9.2,0.001,43743
9,0.3658580542591654,0.3776428465421001,9.227256178855896,6.248728275299072,8.337996482849121,16.02112579345703,9.538771629333496,7.9171528816223145,9.20518970489502,8.411188125610352,8.137896537780762,0.001,15759.897670507431
10,0.3490096385121527,0.40613956781418903,8.974058449268341,6.92675256729126,7.429316520690918,13.043946266174316,9.763130187988281,8.571916580200195,9.206496238708496,8.646885871887207,8.204023361206055,0.0009957224306869053,14685.78617477417
11,0.34870583855375487,0.47054339056519884,8.796022117137909,7.195135116577148,7.556588172912598,12.72303581237793,8.777172088623047,8.358524322509766,9.638291358947754,8.250143051147461,7.869287014007568,0.0009829629131445341,15930.377267599106
12,0.35572774784704686,0.37312311126114844,8.79429680109024,6.272975921630859,7.922578811645508,14.623291969299316,8.834019660949707,7.692342281341553,8.860337257385254,8.012653350830078,8.136175155639648,0.0009619397662556433,16004.665353298187
13,0.36030265750020424,0.4982830397155323,10.499442160129547,7.4973835945129395,9.834341049194336,13.523982048034668,12.378384590148926,10.374967575073242,11.582356452941895,9.574869155883789,9.229252815246582,0.0009330127018922194,17529.144496679306
