hour,ME,NH,VT,CT,RI,SEMA,WCMA,NEMA_BOST
00,950,1180,665,3030,1035,1920,1700,4300
01,920,1140,640,2920,995,1855,1640,4150
02,895,1100,615,2820,955,1790,1580,4015
03,880,1080,605,2770,940,1755,1555,3950
04,890,1095,615,2810,955,1785,1580,4010
05,925,1145,645,2950,1000,1860,1645,4180
06,1010,1240,705,3225,1090,2030,1795,4555
07,1110,1360,778,3540,1190,2225,1965,5000
08,1180,1450,830,3760,1265,2360,2090,5310
09,1230,1505,865,3905,1310,2450,2170,5510
10,1265,1545,890,4005,1340,2510,2225,5650
11,1290,1572,907,4080,1365,2560,2270,5760
12,1300,1585,915,4115,1378,2585,2290,5810
13,1305,1593,919,4130,1383,2595,2300,5825
14,1295,1580,910,4090,1370,2570,2280,5775
15,1280,1560,898,4030,1350,2530,2245,5685
16,1300,1583,913,4115,1378,2585,2290,5800
17,1370,1670,963,4340,1455,2725,2415,6120
18,1430,1745,1006,4540,1525,2855,2528,6420
19,1410,1720,991,4475,1500,2810,2490,6320
20,1330,1623,935,4220,1415,2650,2350,5945
21,1230,1505,865,3905,1310,2450,2170,5510
22,1130,1380,795,3590,1205,2255,1995,5060
23,1030,1260,725,3275,1100,2055,1820,4615
